x.X1,x.X2,x.X3,x.X4,x.X5,x.X6,x.X7,x.X8,x.X9,x.X10,y
0.495787353,0.26116531,0.809861632,0.823182309,0.821701016,0.32193361,0.054407804,0.518502972,0.39143353,0.738936504,17.51886593
0.407777395,0.71638028,0.963552258,0.505653024,0.880284981,0.574530399,0.455180187,0.980605218,0.666326756,0.000589597,20.86880184
0.499102263,0.714612594,0.681096801,0.003843726,0.49835485,0.060285227,0.892560553,0.975083139,0.085648858,0.592212999,12.8175337
0.195636725,0.368980432,0.377954077,0.385691399,0.278761636,0.554661238,0.397238681,0.840387671,0.090394554,0.162266976,5.094463748
0.022803481,0.746024886,0.390798148,0.873982576,0.196768163,0.17619075,0.506659237,0.556172899,0.378981296,0.650085586,10.79363423
0.161243848,0.928914963,0.192795964,0.498280346,0.307150218,0.701046009,0.727255163,0.493505222,0.180747341,0.157434095,12.20901689
0.551027886,0.957066309,0.405445153,0.787241435,0.128205431,0.616379391,0.079746135,0.902031054,0.844101747,0.201932088,18.48886329
0.201899388,0.833444935,0.766844459,0.094901596,0.176623865,0.875265227,0.433143344,0.212782302,0.313200293,0.928206105,9.16940466
0.483472011,0.076319657,0.10938384,0.128050628,0.061036421,0.598971255,0.2968764,0.399367445,0.577836831,0.035976005,6.465345779
0.536093423,0.463748177,0.205870357,0.091290091,0.269523592,0.354062799,0.504305737,0.912833319,0.223273135,0.366872844,12.03595756
0.726027819,0.934479721,0.588293084,0.101211482,0.43583295,0.028395097,0.43027464,0.42944881,0.550897494,0.50577609,11.07158681
0.707700682,0.109951005,0.862286972,0.166457881,0.974401927,0.910002171,0.464858717,0.574728358,0.393484631,0.575564758,11.97639496
0.475445344,0.931195592,0.998475794,0.285367229,0.543748679,0.516469312,0.70130172,0.589977392,0.150855625,0.506351964,20.75435629
0.286627106,0.723656638,0.901275015,0.320468067,0.973015004,0.313384469,0.414660667,0.018206946,0.884256304,0.180707269,17.35068254
0.045093213,0.340833547,0.030488824,0.45068492,0.342385545,0.696604316,0.345208645,0.883212954,0.06624315,0.073813237,10.16977699
0.448609415,0.626078265,0.37737814,0.243324681,0.691772172,0.632654786,0.845891154,0.049194866,0.256299542,0.618520667,15.01558823
0.193161497,0.722441916,0.573951469,0.227083072,0.322312329,0.909295041,0.409055256,0.741931893,0.673457744,0.371535133,6.5328973
0.678216211,0.500725051,0.373834003,0.031573969,0.119519572,0.996572405,0.110759056,0.502577166,0.893404124,0.017933736,10.31209883
0.409200691,0.084667124,0.582922673,0.533997336,0.357532686,0.489328291,0.566868458,0.491290451,0.282212326,0.390723637,7.956571541
